,apparent_temperature,apparent_temperature_lag1,apparent_temperature_avg_window_length2,apparent_temperature_lag2,apparent_temperature_avg_window_length3,apparent_temperature_lag3,apparent_temperature_avg_window_length4,relativehumidity_2m_lag1,relativehumidity_2m_avg_window_length2,relativehumidity_2m_lag2,relativehumidity_2m_avg_window_length3,relativehumidity_2m_lag3,relativehumidity_2m_avg_window_length4,dewpoint_2m_lag1,dewpoint_2m_avg_window_length2,dewpoint_2m_lag2,dewpoint_2m_avg_window_length3,dewpoint_2m_lag3,dewpoint_2m_avg_window_length4,pressure_msl_lag1,pressure_msl_avg_window_length2,pressure_msl_lag2,pressure_msl_avg_window_length3,pressure_msl_lag3,pressure_msl_avg_window_length4,cloudcover_lag1,cloudcover_avg_window_length2,cloudcover_lag2,cloudcover_avg_window_length3,cloudcover_lag3,cloudcover_avg_window_length4,windspeed_10m_lag1,windspeed_10m_avg_window_length2,windspeed_10m_lag2,windspeed_10m_avg_window_length3,windspeed_10m_lag3,windspeed_10m_avg_window_length4,precipitation_lag1,precipitation_avg_window_length2,precipitation_lag2,precipitation_avg_window_length3,precipitation_lag3,precipitation_avg_window_length4,direct_radiation_lag1,direct_radiation_avg_window_length2,direct_radiation_lag2,direct_radiation_avg_window_length3,direct_radiation_lag3,direct_radiation_avg_window_length4,soil_temperature_0cm_lag1,soil_temperature_0cm_avg_window_length2,soil_temperature_0cm_lag2,soil_temperature_0cm_avg_window_length3,soil_temperature_0cm_lag3,soil_temperature_0cm_avg_window_length4
10,32.5,34.8,35.3,35.8,35.53333333333333,36.0,35.675,45.0,42.0,39.0,40.0,36.0,39.0,17.3,16.85,16.4,16.433333333333334,15.6,16.3,1016.0,1015.45,1014.9,1014.9,1013.8,1014.475,74.0,73.0,72.0,73.66666666666667,75.0,71.75,1.4,0.95,0.5,1.0666666666666667,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,548.0,510.0,538.3333333333334,519.0,520.5,38.4,37.199999999999996,36.0,36.63333333333333,35.5,36.275
11,34.8,35.8,35.9,36.0,35.96666666666667,36.1,35.725,39.0,37.5,36.0,37.0,36.0,37.0,16.4,16.0,15.6,15.966666666666667,15.9,16.1,1014.9,1014.3499999999999,1013.8,1013.9666666666667,1013.2,1013.6,72.0,73.5,75.0,71.0,66.0,77.25,0.5,0.9,1.3,0.8666666666666667,0.8,1.35,0.0,0.0,0.0,0.0,0.0,0.0,510.0,514.5,519.0,498.6666666666667,467.0,465.0,36.0,35.75,35.5,35.56666666666666,35.2,35.75
12,35.8,36.0,36.05,36.1,35.699999999999996,35.0,35.1,36.0,36.0,36.0,36.333333333333336,37.0,37.0,15.6,15.75,15.9,16.0,16.5,16.174999999999997,1013.8,1013.5,1013.2,1013.1666666666666,1012.5,1013.05,75.0,70.5,66.0,79.0,96.0,77.25,1.3,1.05,0.8,1.6333333333333335,2.8,3.15,0.0,0.0,0.0,0.0,0.0,0.0,519.0,493.0,467.0,450.0,364.0,408.0,35.5,35.349999999999994,35.2,35.666666666666664,36.3,35.25
13,36.0,36.1,35.55,35.0,34.800000000000004,33.3,33.825,36.0,36.5,37.0,37.333333333333336,39.0,39.0,15.9,16.2,16.5,16.366666666666664,16.7,16.35,1013.2,1012.85,1012.5,1012.8000000000001,1012.7,1012.9000000000001,66.0,81.0,96.0,78.0,72.0,77.75,0.8,1.7999999999999998,2.8,3.766666666666667,7.7,5.4,0.0,0.0,0.0,0.0,0.0,0.0,467.0,415.5,364.0,371.0,282.0,313.75,35.2,35.75,36.3,35.166666666666664,34.0,33.8
14,36.1,35.0,34.15,33.3,33.06666666666667,30.9,32.025,37.0,38.0,39.0,40.0,44.0,42.0,16.5,16.6,16.7,16.5,16.3,16.349999999999998,1012.5,1012.6,1012.7,1012.8000000000001,1013.2,1013.025,96.0,84.0,72.0,81.66666666666667,77.0,74.75,2.8,5.25,7.7,6.933333333333334,10.3,7.55,0.0,0.0,0.0,0.0,0.0,0.0,364.0,323.0,282.0,262.6666666666667,142.0,203.75,36.3,35.14999999999999,34.0,33.333333333333336,29.7,31.650000000000002
15,35.0,33.3,32.099999999999994,30.9,31.03333333333333,28.9,30.275,39.0,41.5,44.0,43.666666666666664,48.0,46.25,16.7,16.5,16.3,16.3,15.9,16.325,1012.7,1012.95,1013.2,1013.1999999999999,1013.7,1013.4,72.0,74.5,77.0,67.66666666666667,54.0,60.0,7.7,9.0,10.3,9.133333333333333,9.4,8.375,0.0,0.0,0.0,0.0,0.0,0.0,282.0,212.0,142.0,150.33333333333334,27.0,112.75,34.0,31.849999999999994,29.7,30.099999999999998,26.6,28.875
16,33.3,30.9,29.9,28.9,29.266666666666666,28.0,28.824999999999996,44.0,46.0,48.0,48.666666666666664,54.0,52.0,16.3,16.1,15.9,16.2,16.4,16.55,1013.2,1013.45,1013.7,1013.6333333333333,1014.0,1014.0,77.0,65.5,54.0,56.0,37.0,42.0,10.3,9.850000000000001,9.4,8.6,6.1,7.225,0.0,0.0,0.0,0.0,0.0,0.0,142.0,84.5,27.0,56.333333333333336,0.0,42.25,29.7,28.15,26.6,27.166666666666668,25.2,26.35
17,30.9,28.9,28.45,28.0,28.133333333333336,27.5,27.925,48.0,51.0,54.0,54.666666666666664,62.0,58.0,15.9,16.15,16.4,16.633333333333333,17.6,17.05,1013.7,1013.85,1014.0,1014.2666666666668,1015.1,1014.65,54.0,45.5,37.0,30.333333333333332,0.0,22.75,9.4,7.75,6.1,6.2,3.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.5,0.0,9.0,0.0,6.75,26.6,25.9,25.2,25.23333333333333,23.9,24.675
18,28.9,28.0,27.75,27.5,27.599999999999998,27.3,27.375,54.0,58.0,62.0,61.333333333333336,68.0,64.0,16.4,17.0,17.6,17.433333333333334,18.3,17.725,1014.0,1014.55,1015.1,1014.9666666666667,1015.8,1015.325,37.0,18.5,0.0,12.333333333333334,0.0,10.5,6.1,4.6,3.1,3.8000000000000003,2.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,24.549999999999997,23.9,24.03333333333333,23.0,23.65
19,28.0,27.5,27.4,27.3,27.166666666666668,26.7,26.900000000000002,62.0,65.0,68.0,67.33333333333333,72.0,70.0,17.6,17.950000000000003,18.3,18.166666666666668,18.6,18.400000000000002,1015.1,1015.45,1015.8,1015.7666666666668,1016.4,1015.85,0.0,0.0,0.0,1.6666666666666667,5.0,4.25,3.1,2.6500000000000004,2.2,2.766666666666667,3.0,2.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,23.449999999999996,23.0,23.133333333333336,22.5,22.925
20,27.5,27.3,27.0,26.7,26.7,26.1,26.474999999999998,68.0,70.0,72.0,72.66666666666667,78.0,75.25,18.3,18.450000000000003,18.6,18.666666666666668,19.1,18.900000000000002,1015.8,1016.0999999999999,1016.4,1016.1,1016.1,1016.0250000000001,0.0,2.5,5.0,5.666666666666667,12.0,13.25,2.2,2.6,3.0,2.866666666666667,3.4,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.749999999999996,22.5,22.599999999999998,22.3,22.375
21,27.3,26.7,26.4,26.1,26.200000000000003,25.8,25.975,72.0,75.0,78.0,77.66666666666667,83.0,80.0,18.6,18.85,19.1,19.100000000000005,19.6,19.25,1016.4,1016.25,1016.1,1016.1,1015.8,1015.85,5.0,8.5,12.0,17.666666666666668,36.0,21.5,3.0,3.2,3.4,3.0666666666666664,2.8,3.0749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.4,22.3,22.166666666666668,21.7,22.025
22,26.7,26.1,25.950000000000003,25.8,25.733333333333334,25.3,25.650000000000002,78.0,80.5,83.0,82.66666666666667,87.0,84.75,19.1,19.35,19.6,19.466666666666665,19.7,19.65,1016.1,1015.95,1015.8,1015.6666666666666,1015.1,1015.4499999999999,12.0,24.0,36.0,27.0,33.0,30.0,3.4,3.0999999999999996,2.8,3.0999999999999996,3.1,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,21.999999999999996,21.7,21.866666666666664,21.6,21.775
23,26.1,25.8,25.55,25.3,25.5,25.4,25.35,83.0,85.0,87.0,87.0,91.0,87.5,19.6,19.650000000000002,19.7,19.833333333333332,20.2,19.8,1015.8,1015.45,1015.1,1015.2333333333332,1014.8,1015.025,36.0,34.5,33.0,36.0,39.0,39.25,2.8,2.95,3.1,2.9333333333333336,2.9,2.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,21.65,21.6,21.600000000000005,21.5,21.475
24,25.8,25.3,25.35,25.4,25.2,24.9,25.025,87.0,89.0,91.0,89.0,89.0,88.75,19.7,19.950000000000003,20.2,19.866666666666667,19.7,19.724999999999998,1015.1,1014.95,1014.8,1014.7666666666668,1014.4,1014.7750000000001,33.0,36.0,39.0,40.333333333333336,49.0,42.5,3.1,3.0,2.9,2.9,2.7,2.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,21.549999999999997,21.5,21.400000000000002,21.1,21.225
25,25.3,25.4,25.15,24.9,24.933333333333334,24.5,24.824999999999996,91.0,90.0,89.0,89.33333333333333,88.0,88.75,20.2,19.950000000000003,19.7,19.733333333333334,19.3,19.55,1014.8,1014.5999999999999,1014.4,1014.6666666666666,1014.8,1014.7249999999999,39.0,44.0,49.0,45.666666666666664,49.0,43.25,2.9,2.8,2.7,2.733333333333334,2.6,2.5250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,21.299999999999997,21.1,21.099999999999998,20.7,20.9
26,25.4,24.9,24.7,24.5,24.633333333333336,24.5,24.55,89.0,88.5,88.0,88.0,87.0,87.5,19.7,19.5,19.3,19.333333333333332,19.0,19.2,1014.4,1014.5999999999999,1014.8,1014.6999999999999,1014.9,1014.875,49.0,49.0,49.0,44.666666666666664,36.0,37.25,2.7,2.6500000000000004,2.6,2.4,1.9,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,20.9,20.7,20.7,20.3,20.5
27,24.9,24.5,24.5,24.5,24.433333333333334,24.3,24.55,88.0,87.5,87.0,87.0,86.0,86.0,19.3,19.150000000000002,19.0,19.033333333333335,18.8,19.0,1014.8,1014.8499999999999,1014.9,1015.0333333333333,1015.4,1015.25,49.0,42.5,36.0,33.333333333333336,15.0,26.0,2.6,2.25,1.9,2.1,1.8,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.7,20.499999999999996,20.3,20.3,19.9,20.875
28,24.5,24.5,24.4,24.3,24.566666666666666,24.9,25.224999999999998,87.0,86.5,86.0,85.33333333333333,83.0,82.25,19.0,18.900000000000002,18.8,18.9,18.9,18.925,1014.9,1015.15,1015.4,1015.4,1015.9,1015.7749999999999,36.0,25.5,15.0,18.333333333333332,4.0,21.5,1.9,1.85,1.8,1.8666666666666665,1.9,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,54.0,20.3,20.099999999999994,19.9,20.933333333333334,22.6,22.725
29,24.5,24.3,24.6,24.9,25.46666666666667,27.2,26.5,86.0,84.5,83.0,80.66666666666667,73.0,76.25,18.8,18.85,18.9,18.900000000000002,19.0,18.925,1015.4,1015.65,1015.9,1016.0666666666666,1016.9,1016.325,15.0,9.5,4.0,16.666666666666668,31.0,16.75,1.8,1.85,1.9,1.8333333333333333,1.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,72.0,192.0,154.75,19.9,21.249999999999996,22.6,23.53333333333333,28.1,25.8
30,24.3,24.9,26.049999999999997,27.2,27.233333333333334,29.6,28.575,83.0,78.0,73.0,73.0,63.0,68.25,18.9,18.950000000000003,19.0,18.966666666666665,19.0,18.85,1015.9,1016.4,1016.9,1016.6333333333333,1017.1,1016.65,4.0,17.5,31.0,17.333333333333332,17.0,30.75,1.9,1.85,1.8,2.1999999999999997,2.9,1.925,0.0,0.0,0.0,0.0,0.0,0.0,24.0,108.0,192.0,206.33333333333334,403.0,289.0,22.6,25.349999999999998,28.1,27.76666666666667,32.6,29.125000000000004
31,24.9,27.2,28.4,29.6,29.8,32.6,31.1,73.0,68.0,63.0,63.333333333333336,54.0,58.75,19.0,19.0,19.0,18.833333333333332,18.5,18.525,1016.9,1017.0,1017.1,1016.9,1016.7,1016.525,31.0,24.0,17.0,39.666666666666664,71.0,47.5,1.8,2.3499999999999996,2.9,1.9333333333333333,1.1,1.575,0.0,0.0,0.0,0.0,0.0,0.0,192.0,297.5,403.0,377.3333333333333,537.0,413.0,28.1,30.349999999999998,32.6,31.3,33.2,32.375
32,27.2,29.6,31.1,32.6,32.4,35.0,33.275,63.0,58.5,54.0,54.0,45.0,50.5,19.0,18.75,18.5,18.366666666666667,17.6,18.05,1017.1,1016.9000000000001,1016.7,1016.4,1015.4,1015.8499999999999,17.0,44.0,71.0,53.0,71.0,59.75,2.9,2.0,1.1,1.5,0.5,1.85,0.0,0.0,0.0,0.0,0.0,0.0,403.0,470.0,537.0,486.6666666666667,520.0,491.5,32.6,32.9,33.2,33.800000000000004,35.6,34.800000000000004
33,29.6,32.6,33.8,35.0,34.5,35.9,34.7,54.0,49.5,45.0,46.333333333333336,40.0,44.75,18.5,18.050000000000004,17.6,17.733333333333334,17.1,17.675,1016.7,1016.05,1015.4,1015.4333333333334,1014.2,1014.9,71.0,71.0,71.0,74.0,80.0,76.5,1.1,0.7999999999999998,0.5,1.5,2.9,2.5749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,537.0,528.5,520.0,521.0,506.0,500.5,33.2,34.4,35.6,35.53333333333333,37.8,35.925
34,32.6,35.0,35.45,35.9,35.4,35.3,35.35,45.0,42.5,40.0,41.666666666666664,40.0,41.5,17.6,17.35,17.1,17.400000000000002,17.5,17.475,1015.4,1014.8,1014.2,1014.2999999999998,1013.3,1013.95,71.0,75.5,80.0,78.33333333333333,84.0,81.0,0.5,1.6999999999999997,2.9,3.0666666666666664,5.8,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,520.0,513.0,506.0,488.3333333333333,439.0,465.0,35.6,36.699999999999996,37.8,36.833333333333336,37.1,37.075
35,35.0,35.9,35.599999999999994,35.3,35.46666666666667,35.2,35.1,40.0,40.0,40.0,40.333333333333336,41.0,41.0,17.1,17.300000000000004,17.5,17.433333333333334,17.7,17.575,1014.2,1013.75,1013.3,1013.4666666666667,1012.9,1013.225,80.0,82.0,84.0,84.33333333333333,89.0,86.5,2.9,4.35,5.8,4.633333333333334,5.2,5.175,0.0,0.0,0.0,0.0,0.0,0.0,506.0,472.5,439.0,446.6666666666667,395.0,420.75,37.8,37.449999999999996,37.1,37.56666666666667,37.8,36.95
36,35.9,35.3,35.25,35.2,34.833333333333336,34.0,34.599999999999994,40.0,40.5,41.0,41.333333333333336,43.0,42.25,17.5,17.6,17.7,17.733333333333334,18.0,17.85,1013.3,1013.0999999999999,1012.9,1012.9,1012.5,1012.8,84.0,86.5,89.0,88.66666666666667,93.0,89.5,5.8,5.5,5.2,5.933333333333334,6.8,5.6,0.0,0.0,0.0,0.0,0.0,0.0,439.0,417.0,395.0,392.3333333333333,343.0,353.75,37.1,37.449999999999996,37.8,36.666666666666664,35.1,35.925
37,35.3,35.2,34.6,34.0,34.36666666666667,33.9,34.0,41.0,42.0,43.0,43.0,45.0,43.5,17.7,17.85,18.0,17.966666666666665,18.2,17.925,1012.9,1012.7,1012.5,1012.6333333333333,1012.5,1012.6,89.0,91.0,93.0,91.33333333333333,92.0,83.0,5.2,6.0,6.8,5.533333333333334,4.6,5.675,0.0,0.0,0.0,0.0,0.0,0.0,395.0,369.0,343.0,325.3333333333333,238.0,282.25,37.8,36.449999999999996,35.1,35.53333333333333,33.7,34.525
38,35.2,34.0,33.95,33.9,33.6,32.9,32.8,43.0,44.0,45.0,44.333333333333336,45.0,45.25,18.0,18.1,18.2,18.0,17.8,17.775,1012.5,1012.5,1012.5,1012.5,1012.5,1012.5999999999999,93.0,92.5,92.0,81.0,58.0,73.75,6.8,5.699999999999999,4.6,5.833333333333333,6.1,6.425,0.0,0.0,0.0,0.0,0.0,0.0,343.0,290.5,238.0,244.66666666666666,153.0,193.5,35.1,34.4,33.7,33.43333333333334,31.5,31.975
39,34.0,33.9,33.4,32.9,32.4,30.4,31.525,45.0,45.0,45.0,46.0,48.0,48.25,18.2,18.0,17.8,17.700000000000003,17.1,17.575,1012.5,1012.5,1012.5,1012.6333333333332,1012.9,1012.8499999999999,92.0,75.0,58.0,67.33333333333333,52.0,54.75,4.6,5.35,6.1,6.3,8.2,6.225,0.0,0.0,0.0,0.0,0.0,0.0,238.0,195.5,153.0,143.66666666666666,40.0,107.75,33.7,32.599999999999994,31.5,30.933333333333337,27.6,29.625000000000004
40,33.9,32.9,31.65,30.4,30.73333333333333,28.9,30.075,45.0,46.5,48.0,49.333333333333336,55.0,52.25,17.8,17.450000000000003,17.1,17.366666666666667,17.2,17.475,1012.5,1012.7,1012.9,1012.9666666666666,1013.5,1013.175,58.0,55.0,52.0,42.333333333333336,17.0,39.5,6.1,7.1499999999999995,8.2,6.766666666666666,6.0,6.1499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,153.0,96.5,40.0,64.33333333333333,0.0,48.25,31.5,29.549999999999997,27.6,28.266666666666666,25.7,27.35
41,32.9,30.4,29.65,28.9,29.133333333333336,28.1,28.725,48.0,51.5,55.0,54.666666666666664,61.0,57.5,17.1,17.150000000000002,17.2,17.366666666666664,17.8,17.55,1012.9,1013.2,1013.5,1013.4,1013.8,1013.675,52.0,34.5,17.0,33.333333333333336,31.0,32.25,8.2,7.1,6.0,6.166666666666667,4.3,5.175,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,13.333333333333334,0.0,10.0,27.6,26.65,25.7,25.96666666666667,24.6,25.35
42,30.4,28.9,28.5,28.1,28.166666666666668,27.5,28.0,55.0,58.0,61.0,60.666666666666664,66.0,62.75,17.2,17.5,17.8,17.700000000000003,18.1,17.9,1013.5,1013.65,1013.8,1013.9333333333334,1014.5,1014.1750000000001,17.0,24.0,31.0,25.666666666666668,29.0,31.5,6.0,5.15,4.3,4.166666666666667,2.2,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,25.15,24.6,24.599999999999998,23.5,24.225
43,28.9,28.1,27.8,27.5,27.7,27.5,27.525,61.0,63.5,66.0,65.33333333333333,69.0,66.75,17.8,17.950000000000003,18.1,18.133333333333336,18.5,18.25,1013.8,1014.15,1014.5,1014.4,1014.9,1014.5249999999999,31.0,30.0,29.0,36.333333333333336,49.0,38.5,4.3,3.25,2.2,2.3333333333333335,0.5,2.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,24.049999999999997,23.5,23.733333333333334,23.1,23.45
44,28.1,27.5,27.5,27.5,27.333333333333332,27.0,27.15,66.0,67.5,69.0,68.66666666666667,71.0,69.75,18.1,18.300000000000004,18.5,18.400000000000002,18.6,18.5,1014.5,1014.7,1014.9,1014.7666666666668,1014.9,1014.7,29.0,39.0,49.0,41.0,45.0,45.5,2.2,1.35,0.5,1.6000000000000003,2.1,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,23.299999999999997,23.1,23.066666666666666,22.6,22.875
45,27.5,27.5,27.25,27.0,27.03333333333333,26.6,26.75,69.0,70.0,71.0,71.0,73.0,73.75,18.5,18.550000000000004,18.6,18.633333333333333,18.8,18.825,1014.9,1014.9,1014.9,1014.7666666666668,1014.5,1014.525,49.0,47.0,45.0,51.0,59.0,51.0,0.5,1.3,2.1,2.1333333333333333,3.8,2.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,22.849999999999998,22.6,22.666666666666668,22.3,22.5
46,27.5,27.0,26.8,26.6,26.5,25.9,26.5,71.0,72.0,73.0,75.33333333333333,82.0,78.25,18.6,18.700000000000003,18.8,18.933333333333334,19.4,19.325,1014.9,1014.7,1014.5,1014.4,1013.8,1014.15,45.0,52.0,59.0,51.666666666666664,51.0,52.0,2.1,2.95,3.8,2.8666666666666667,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,22.449999999999996,22.3,22.3,22.0,22.325
