,apparent_temperature,apparent_temperature_lag1,apparent_temperature_avg_window_length2,apparent_temperature_lag2,apparent_temperature_avg_window_length3,apparent_temperature_lag3,apparent_temperature_avg_window_length4,relativehumidity_2m_lag1,relativehumidity_2m_avg_window_length2,relativehumidity_2m_lag2,relativehumidity_2m_avg_window_length3,relativehumidity_2m_lag3,relativehumidity_2m_avg_window_length4,dewpoint_2m_lag1,dewpoint_2m_avg_window_length2,dewpoint_2m_lag2,dewpoint_2m_avg_window_length3,dewpoint_2m_lag3,dewpoint_2m_avg_window_length4,pressure_msl_lag1,pressure_msl_avg_window_length2,pressure_msl_lag2,pressure_msl_avg_window_length3,pressure_msl_lag3,pressure_msl_avg_window_length4,cloudcover_lag1,cloudcover_avg_window_length2,cloudcover_lag2,cloudcover_avg_window_length3,cloudcover_lag3,cloudcover_avg_window_length4,windspeed_10m_lag1,windspeed_10m_avg_window_length2,windspeed_10m_lag2,windspeed_10m_avg_window_length3,windspeed_10m_lag3,windspeed_10m_avg_window_length4,precipitation_lag1,precipitation_avg_window_length2,precipitation_lag2,precipitation_avg_window_length3,precipitation_lag3,precipitation_avg_window_length4,direct_radiation_lag1,direct_radiation_avg_window_length2,direct_radiation_lag2,direct_radiation_avg_window_length3,direct_radiation_lag3,direct_radiation_avg_window_length4,soil_temperature_0cm_lag1,soil_temperature_0cm_avg_window_length2,soil_temperature_0cm_lag2,soil_temperature_0cm_avg_window_length3,soil_temperature_0cm_lag3,soil_temperature_0cm_avg_window_length4
0,24.4,23.9,23.799999999999997,23.7,23.733333333333334,23.6,23.6,77.0,83.0,89.0,86.33333333333333,93.0,88.0,17.5,18.2,18.9,18.53333333333333,19.2,18.675,1015.1,1015.25,1015.4,1015.1999999999999,1015.1,1015.15,17.0,19.5,22.0,22.666666666666668,29.0,26.25,4.0,3.55,3.1,3.233333333333333,2.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,20.5,20.2,20.3,19.9,20.125
1,23.9,23.7,23.65,23.6,23.5,23.2,23.349999999999998,89.0,91.0,93.0,91.66666666666667,93.0,92.0,18.9,19.049999999999997,19.2,19.066666666666666,19.1,19.0,1015.4,1015.25,1015.1,1015.1666666666666,1015.0,1015.1750000000001,22.0,25.5,29.0,29.333333333333332,37.0,29.5,3.1,2.85,2.6,2.6666666666666665,2.3,2.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,20.049999999999997,19.9,19.9,19.6,19.725
2,23.7,23.6,23.4,23.2,23.23333333333333,22.9,23.05,93.0,93.0,93.0,93.0,93.0,92.75,19.2,19.15,19.1,19.033333333333335,18.8,18.875,1015.1,1015.05,1015.0,1015.1,1015.2,1015.35,29.0,33.0,37.0,32.0,30.0,30.0,2.6,2.45,2.3,2.5333333333333337,2.7,2.5500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,19.75,19.6,19.566666666666666,19.2,19.425
3,23.6,23.2,23.049999999999997,22.9,22.866666666666664,22.5,22.95,93.0,93.0,93.0,92.66666666666667,92.0,91.25,19.1,18.950000000000003,18.8,18.76666666666667,18.4,18.625,1015.0,1015.1,1015.2,1015.4333333333334,1016.1,1015.7,37.0,33.5,30.0,30.333333333333332,24.0,24.25,2.3,2.5,2.7,2.533333333333333,2.6,2.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.6,19.4,19.2,19.266666666666666,19.0,19.8
4,23.2,22.9,22.7,22.5,22.866666666666664,23.2,23.724999999999998,93.0,92.5,92.0,90.66666666666667,87.0,86.25,18.8,18.6,18.4,18.46666666666667,18.2,18.45,1015.2,1015.6500000000001,1016.1,1015.9333333333334,1016.5,1016.3000000000001,30.0,27.0,24.0,20.0,6.0,15.0,2.7,2.6500000000000004,2.6,2.533333333333333,2.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,54.0,19.2,19.1,19.0,19.866666666666664,21.4,21.85
5,22.9,22.5,22.85,23.2,24.0,26.3,25.2,92.0,89.5,87.0,84.0,73.0,78.0,18.4,18.299999999999997,18.2,18.333333333333332,18.4,18.2,1016.1,1016.3,1016.5,1016.6666666666666,1017.4,1016.8249999999999,24.0,15.0,6.0,10.0,0.0,7.5,2.6,2.45,2.3,2.3000000000000003,2.0,2.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,72.0,192.0,158.75,19.0,20.2,21.4,22.73333333333333,27.8,24.875
6,22.5,23.2,24.75,26.3,26.099999999999998,28.8,27.7,87.0,80.0,73.0,73.33333333333333,60.0,68.25,18.2,18.299999999999997,18.4,18.133333333333333,17.8,18.075,1016.5,1016.95,1017.4,1017.0666666666666,1017.3,1017.025,6.0,3.0,0.0,2.0,0.0,12.0,2.3,2.15,2.0,2.0333333333333337,1.8,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,24.0,108.0,192.0,211.66666666666666,419.0,309.25,21.4,24.6,27.8,26.833333333333332,31.3,29.474999999999998
7,23.2,26.3,27.55,28.8,29.2,32.5,30.599999999999998,73.0,66.5,60.0,62.0,53.0,57.75,18.4,18.1,17.8,18.033333333333335,17.9,17.849999999999998,1017.4,1017.3499999999999,1017.3,1017.1999999999999,1016.9,1016.9,0.0,0.0,0.0,14.0,42.0,29.0,2.0,1.9,1.8,1.5,0.7,1.4749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,192.0,305.5,419.0,404.3333333333333,602.0,449.75,27.8,29.55,31.3,32.166666666666664,37.4,33.725
8,26.3,28.8,30.65,32.5,32.03333333333333,34.8,32.974999999999994,60.0,56.5,53.0,52.666666666666664,45.0,49.25,17.8,17.85,17.9,17.666666666666668,17.3,17.35,1017.3,1017.0999999999999,1016.9,1016.7333333333332,1016.0,1016.275,0.0,21.0,42.0,38.666666666666664,74.0,47.0,1.8,1.25,0.7,1.3,1.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0,419.0,510.5,602.0,535.6666666666666,586.0,529.25,31.3,34.35,37.4,35.699999999999996,38.4,35.775
9,28.8,32.5,33.65,34.8,34.36666666666667,35.8,34.775,53.0,49.0,45.0,45.666666666666664,39.0,43.25,17.9,17.6,17.3,17.2,16.4,16.8,1016.9,1016.45,1016.0,1015.9333333333334,1014.9,1015.4,42.0,58.0,74.0,62.666666666666664,72.0,65.75,0.7,1.0499999999999998,1.4,0.8666666666666666,0.5,0.9750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,602.0,594.0,586.0,566.0,510.0,554.25,37.4,37.9,38.4,37.26666666666666,36.0,36.824999999999996
